id	Question	Gold answers	Model answer	Acceptable?	BEM probs per gold answer
1185	list of strict nature reserve in the philippines	Calavite and FB Harrison | Palawan | Calauit Safari Park | Lake Malimanga | Lake Buluan | Olango Island	wilderness area	No	"[[0.961713433265686, 0.03828660398721695], [0.955495297908783, 0.044504646211862564], [0.9545435309410095, 0.045456428080797195], [0.964742124080658, 0.03525792062282562], [0.9651159644126892, 0.03488404303789139], [0.9521007537841797, 0.04789932444691658]]"
1186	list of strict nature reserve in the philippines	Calavite and FB Harrison | Palawan | Calauit Safari Park | Lake Malimanga | Lake Buluan | Olango Island	Puerto Princesa	No	"[[0.9619473814964294, 0.038052648305892944], [0.9491039514541626, 0.050896015018224716], [0.9561556577682495, 0.043844472616910934], [0.9655207395553589, 0.03447932377457619], [0.9653409719467163, 0.03465894237160683], [0.9534343481063843, 0.046565648168325424]]"
1187	list of strict nature reserve in the philippines	Calavite and FB Harrison | Palawan | Calauit Safari Park | Lake Malimanga | Lake Buluan | Olango Island	mount hamiguitan range wildlife sanctuary	No	"[[0.9616758227348328, 0.038324177265167236], [0.9520128965377808, 0.04798709228634834], [0.9483354687690735, 0.051664452999830246], [0.9624913930892944, 0.03750848397612572], [0.9591796398162842, 0.0408204086124897], [0.9493482112884521, 0.05065175145864487]]"
1188	list of strict nature reserve in the philippines	Calavite and FB Harrison | Palawan | Calauit Safari Park | Lake Malimanga | Lake Buluan | Olango Island	northern sierra madre natural park	No	"[[0.9619829654693604, 0.038016993552446365], [0.9479110836982727, 0.05208894610404968], [0.9432521462440491, 0.05674772709608078], [0.9622272849082947, 0.03777269646525383], [0.9625950455665588, 0.03740488365292549], [0.9561668038368225, 0.04383327439427376]]"
1189	who does eric end up with in that 70s show	Donna	Donna Pinciotti	Yes	"[[0.010250077582895756, 0.9897500276565552]]"
1190	who does eric end up with in that 70s show	Donna	Donna	Yes	"[[0.010333233512938023, 0.9896668195724487]]"
1191	who does eric end up with in that 70s show	Donna	Eric Forman ends up with Donna Pinciotti.	Yes	"[[0.010553626343607903, 0.9894464015960693]]"
1192	who does eric end up with in that 70s show	Donna	blair waldorf	No	"[[0.9567351341247559, 0.043264832347631454]]"
1193	who proposed the virginia plan at the constitutional convention	Madison | James Madison	Edmund Randolph proposed the Virginia Plan at the Constitutional Convention.	Yes	"[[0.48285940289497375, 0.5171406269073486], [0.5878150463104248, 0.4121849238872528]]"
1194	who proposed the virginia plan at the constitutional convention	Madison | James Madison	edmund randolph	No	"[[0.9531840085983276, 0.04681598022580147], [0.954237699508667, 0.045762356370687485]]"
1195	who proposed the virginia plan at the constitutional convention	Madison | James Madison	james madison	Yes	"[[0.03105754964053631, 0.9689424633979797], [0.012607148848474026, 0.987392783164978]]"
1196	when does season 18 of law and order svu start	"September 21, 2016"	"September 21, 2016"	Yes	"[[0.008936073631048203, 0.9910638928413391]]"
1197	when does season 18 of law and order svu start	"September 21, 2016"	September 27 2017	No	"[[0.6954298615455627, 0.3045702278614044]]"
1198	when does season 18 of law and order svu start	"September 21, 2016"	"Season 18 of Law and Order: SVU is scheduled to premiere on November 11, 2020."	No	"[[0.8194577693939209, 0.18054218590259552]]"
1199	when does season 18 of law and order svu start	"September 21, 2016"	"September 27 , 2017"	No	"[[0.5857628583908081, 0.4142371714115143]]"
1200	term limits for house of representatives and senate	Unlimited six-year terms | Unlimited two-year terms	"The U.S. House of Representatives has a two-term limit, while the U.S. Senate has no term limits."	Yes	"[[0.7043102383613586, 0.29568982124328613], [0.4371674656867981, 0.5628325343132019]]"
1201	term limits for house of representatives and senate	Unlimited six-year terms | Unlimited two-year terms	six years	Yes	"[[0.41133207082748413, 0.5886679291725159], [0.9340324401855469, 0.06596758961677551]]"
1202	term limits for house of representatives and senate	Unlimited six-year terms | Unlimited two-year terms	senate	No	"[[0.7929151058197021, 0.20708493888378143], [0.7784841656684875, 0.2215157151222229]]"
1203	term limits for house of representatives and senate	Unlimited six-year terms | Unlimited two-year terms	unlimited	Yes	"[[0.515781819820404, 0.48421820998191833], [0.4973437488079071, 0.5026562213897705]]"
1204	term limits for house of representatives and senate	Unlimited six-year terms | Unlimited two-year terms	two six-year terms	No	"[[0.6269886493682861, 0.3730113208293915], [0.6151943206787109, 0.3848056197166443]]"
1205	term limits for house of representatives and senate	Unlimited six-year terms | Unlimited two-year terms	House of Representatives: 2 terms	No	"[[0.8209234476089478, 0.17907659709453583], [0.7840384840965271, 0.21596144139766693]]"
1206	where is the love meaning of the song	lament on various worldwide problems	Unknown.	No	"[[0.9502558708190918, 0.04974425584077835]]"
1207	where is the love meaning of the song	lament on various worldwide problems	silly complication	No	"[[0.9461137652397156, 0.05388607084751129]]"
1208	where is the love meaning of the song	lament on various worldwide problems	allegory	No	"[[0.9602713584899902, 0.03972863778471947]]"
1209	where is the love meaning of the song	lament on various worldwide problems	The song is about the lack of love and understanding in the world.	No	"[[0.9444016814231873, 0.055598314851522446]]"
1210	where is the love meaning of the song	lament on various worldwide problems	romantic love	No	"[[0.9539196491241455, 0.04608038440346718]]"
1211	where is the love meaning of the song	lament on various worldwide problems	the biblical book song of solomon	No	"[[0.9516450762748718, 0.048355039209127426]]"
1212	disagreements involving slavery and states' rights were two of the main causes of	the American Civil War	The American Civil War.	Yes	"[[0.012290500104427338, 0.9877095222473145]]"
1213	disagreements involving slavery and states' rights were two of the main causes of	the American Civil War	the american civil war	Yes	"[[0.013943180441856384, 0.9860568046569824]]"
1214	disagreements involving slavery and states' rights were two of the main causes of	the American Civil War	american civil war	Yes	"[[0.012956587597727776, 0.9870434403419495]]"
1215	when did athens emerges as wealthiest greek city state	the late 6th century BCE	900 BC	No	"[[0.9474319815635681, 0.05256802216172218]]"
1216	when did athens emerges as wealthiest greek city state	the late 6th century BCE	in 19th century	No	"[[0.9474225640296936, 0.05257749930024147]]"
1217	when did athens emerges as wealthiest greek city state	the late 6th century BCE	around the late 6th century bce	Yes	"[[0.011565986089408398, 0.9884340763092041]]"
1218	when did athens emerges as wealthiest greek city state	the late 6th century BCE	the late 6th century BCE	Yes	"[[0.011883337050676346, 0.9881167411804199]]"
1219	when did athens emerges as wealthiest greek city state	the late 6th century BCE	5th century BC	Yes	"[[0.1674102395772934, 0.8325897455215454]]"
1220	when did athens emerges as wealthiest greek city state	the late 6th century BCE	480 BC	No	"[[0.8385632634162903, 0.16143672168254852]]"
1221	when did athens emerges as wealthiest greek city state	the late 6th century BCE	Athens emerged as the wealthiest Greek city-state in the 6th century BC.	Yes	"[[0.01606595329940319, 0.9839339256286621]]"
1222	when did athens emerges as wealthiest greek city state	the late 6th century BCE	6th century BC	Yes	"[[0.1057998314499855, 0.8942002058029175]]"
1223	what is an example of a government monopoly in the united states	State Bar of Arizona | West Virginia American Water	the United States Postal Service	No	"[[0.937211275100708, 0.06278876960277557], [0.9523839354515076, 0.04761612415313721]]"
1224	what is an example of a government monopoly in the united states	State Bar of Arizona | West Virginia American Water	postal system	No	"[[0.9469485878944397, 0.053051386028528214], [0.9555991888046265, 0.044400785118341446]]"
1225	what is an example of a government monopoly in the united states	State Bar of Arizona | West Virginia American Water	the postal system	No	"[[0.952221155166626, 0.04777880012989044], [0.9602335691452026, 0.039766497910022736]]"
1226	what is an example of a government monopoly in the united states	State Bar of Arizona | West Virginia American Water	single seller	No	"[[0.9432443976402283, 0.056755680590867996], [0.9472704529762268, 0.052729472517967224]]"
1227	what is an example of a government monopoly in the united states	State Bar of Arizona | West Virginia American Water	The United States Postal Service is an example of a government monopoly in the United States.	No	"[[0.913889467716217, 0.08611064404249191], [0.9308443665504456, 0.06915552914142609]]"
1228	what is an example of a government monopoly in the united states	State Bar of Arizona | West Virginia American Water	Patents	No	"[[0.9506298303604126, 0.049370162189006805], [0.9568734765052795, 0.043126437813043594]]"
1229	what is an example of a government monopoly in the united states	State Bar of Arizona | West Virginia American Water	cable television	No	"[[0.9481541514396667, 0.05184585228562355], [0.9529080986976624, 0.047091931104660034]]"
1230	what is an example of a government monopoly in the united states	State Bar of Arizona | West Virginia American Water	The United States Postal Service (USPS)	No	"[[0.9340115785598755, 0.06598837673664093], [0.9535296559333801, 0.04647035524249077]]"
1231	who made the first to record with the electric guitar	George Warren Barnes	charlie christian	No	"[[0.9527359008789062, 0.04726414009928703]]"
1232	who made the first to record with the electric guitar	George Warren Barnes	The first electric guitar recording was made by George Barnes in 1938.	Yes	"[[0.09051986038684845, 0.9094801545143127]]"
1233	who made the first to record with the electric guitar	George Warren Barnes	beatles	No	"[[0.9484880566596985, 0.05151185020804405]]"
1234	who made the first to record with the electric guitar	George Warren Barnes	Les Paul	No	"[[0.9561055302619934, 0.04389446601271629]]"
1235	who made the first to record with the electric guitar	George Warren Barnes	George Barnes	Yes	"[[0.20765063166618347, 0.7923493981361389]]"
1236	when does the 2017 college football season end	"December 9, 2017"	"December 9, 2017"	Yes	"[[0.009560424834489822, 0.9904395937919617]]"
1237	when does the 2017 college football season end	"December 9, 2017"	December 16 2017	Yes	"[[0.2589460015296936, 0.7410538792610168]]"
1238	when does the 2017 college football season end	"December 9, 2017"	"The 2017 college football season ends on January 8, 2018 with the College Football Playoff National Championship."	No	"[[0.602536678314209, 0.397463321685791]]"
1239	when does the 2017 college football season end	"December 9, 2017"	"January 8 , 2018"	No	"[[0.9405068159103394, 0.059493131935596466]]"
1240	when does jo come in grey's anatomy	2012 | season 9 | July 2012	season ten	No	"[[0.9348933100700378, 0.06510661542415619], [0.5356989502906799, 0.4643011689186096], [0.9261694550514221, 0.07383043318986893]]"
1241	when does jo come in grey's anatomy	2012 | season 9 | July 2012	season nine premiere	Yes	"[[0.9195843935012817, 0.08041557669639587], [0.00987573154270649, 0.9901243448257446], [0.8995980620384216, 0.10040192306041718]]"
1242	when does jo come in grey's anatomy	2012 | season 9 | July 2012	season 11	Yes	"[[0.9237334728240967, 0.07626649737358093], [0.23597557842731476, 0.7640244364738464], [0.9163011908531189, 0.08369871228933334]]"
1243	when does jo come in grey's anatomy	2012 | season 9 | July 2012	Season 10	Yes	"[[0.9340323805809021, 0.0659676045179367], [0.01029980182647705, 0.9897002577781677], [0.9255768060684204, 0.0744231566786766]]"
1244	when does jo come in grey's anatomy	2012 | season 9 | July 2012	Jo Wilson (formerly Brooke Stadler) first appears in the Season 9 premiere of Grey's Anatomy.	Yes	"[[0.566879153251648, 0.43312081694602966], [0.010759268887341022, 0.989240825176239], [0.6960238814353943, 0.30397602915763855]]"
1245	when does jo come in grey's anatomy	2012 | season 9 | July 2012	July 2012	Yes	"[[0.009131250903010368, 0.9908687472343445], [0.9560449123382568, 0.043955039232969284], [0.008414165116846561, 0.9915857911109924]]"
1246	when does scully come back in season 2	8 | One Breath	One Breath	Yes	"[[0.9508350491523743, 0.04916497692465782], [0.011159613728523254, 0.9888404011726379]]"
1247	when does scully come back in season 2	8 | One Breath	Unknown.	No	"[[0.9382839202880859, 0.06171611696481705], [0.9367403388023376, 0.06325968354940414]]"
1248	when does scully come back in season 2	8 | One Breath	"November 10 , 1993"	No	"[[0.9470270276069641, 0.052973005920648575], [0.9534239172935486, 0.04657610505819321]]"
1249	when does scully come back in season 2	8 | One Breath	` ` one breath''	Yes	"[[0.923020601272583, 0.07697942852973938], [0.010964819230139256, 0.9890352487564087]]"
1250	when does scully come back in season 2	8 | One Breath	my struggle ii	No	"[[0.945501446723938, 0.05449855327606201], [0.9341048002243042, 0.06589516997337341]]"
1251	when does scully come back in season 2	8 | One Breath	When She Was Bad	No	"[[0.9394526481628418, 0.06054738909006119], [0.9375845193862915, 0.06241553649306297]]"
1252	when does scully come back in season 2	8 | One Breath	The X-Files	No	"[[0.9543372988700867, 0.04566270112991333], [0.9491236209869385, 0.05087648704648018]]"
1253	when does scully come back in season 2	8 | One Breath	Colony	No	"[[0.9514082074165344, 0.04859178140759468], [0.9438426494598389, 0.056157272309064865]]"
1254	when does scully come back in season 2	8 | One Breath	25	No	"[[0.9562296867370605, 0.043770357966423035], [0.9485514163970947, 0.05144854635000229]]"
1255	what is the largest ethnic group in mexico today	K'iche'	Mestizo	No	"[[0.9568145871162415, 0.04318556189537048]]"
1256	what is the largest ethnic group in mexico today	K'iche'	Mestizos	No	"[[0.9568634033203125, 0.04313661903142929]]"
1257	what is the largest ethnic group in mexico today	K'iche'	"The largest ethnic group in Mexico today is the mestizo population, which makes up around 60% of the total population."	No	"[[0.9189690351486206, 0.08103089779615402]]"
1258	what is the largest ethnic group in mexico today	K'iche'	indigenous people	No	"[[0.9561102390289307, 0.04388979822397232]]"
1259	who took control of jamestown and made new rules that made everyone work	John Smith	the Virginia Company	No	"[[0.9615036845207214, 0.03849628567695618]]"
1260	who took control of jamestown and made new rules that made everyone work	John Smith	the British Crown	No	"[[0.9609779715538025, 0.03902208432555199]]"
1261	who took control of jamestown and made new rules that made everyone work	John Smith	Sir Thomas Dale	No	"[[0.9552609920501709, 0.044738929718732834]]"
1262	who took control of jamestown and made new rules that made everyone work	John Smith	the British	No	"[[0.9613983035087585, 0.03860169276595116]]"
1263	who took control of jamestown and made new rules that made everyone work	John Smith	the men	No	"[[0.9608884453773499, 0.03911161422729492]]"
1264	who took control of jamestown and made new rules that made everyone work	John Smith	The Virginia Company of London took control of Jamestown and instituted a new set of rules that required all colonists to work in order to receive food and supplies.	No	"[[0.7624679207801819, 0.23753204941749573]]"
1265	who took control of jamestown and made new rules that made everyone work	John Smith	John Smith	Yes	"[[0.02043432928621769, 0.9795656800270081]]"
1266	who took control of jamestown and made new rules that made everyone work	John Smith	british crown	No	"[[0.9507097005844116, 0.049290258437395096]]"
1267	what are some elements that are similar to silver	copper (Cu) | gold (Au) | Roentgenium (Rg)	iron	No	"[[0.9027971625328064, 0.0972028523683548], [0.8841982483863831, 0.11580171436071396], [0.9575731754302979, 0.042426697909832]]"
1268	what are some elements that are similar to silver	copper (Cu) | gold (Au) | Roentgenium (Rg)	gold	Yes	"[[0.7805123925209045, 0.21948759257793427], [0.02206043340265751, 0.9779395461082458], [0.9065710306167603, 0.09342893213033676]]"
1269	what are some elements that are similar to silver	copper (Cu) | gold (Au) | Roentgenium (Rg)	Copper	Yes	"[[0.012736819684505463, 0.9872631430625916], [0.8491442799568176, 0.15085573494434357], [0.9548255205154419, 0.045174501836299896]]"
1270	what are some elements that are similar to silver	copper (Cu) | gold (Au) | Roentgenium (Rg)	"Elements similar to silver include gold, copper, and mercury."	Yes	"[[0.04189775511622429, 0.958102285861969], [0.1042509526014328, 0.8957490921020508], [0.9067854881286621, 0.09321455657482147]]"
1271	where does junior want to go to find hope	off the rez	Natesville	No	"[[0.9396332502365112, 0.06036672741174698]]"
1272	where does junior want to go to find hope	off the rez	Africa	No	"[[0.9501211643218994, 0.049878787249326706]]"
1273	where does junior want to go to find hope	off the rez	Unknown.	No	"[[0.9165985584259033, 0.08340146392583847]]"
1274	where does junior want to go to find hope	off the rez	Paris	No	"[[0.9433449506759644, 0.056655071675777435]]"
1275	where does junior want to go to find hope	off the rez	seattle	No	"[[0.9452977776527405, 0.054702278226614]]"
1276	where does junior want to go to find hope	off the rez	Mexico	No	"[[0.9469475746154785, 0.05305241793394089]]"
1277	where does junior want to go to find hope	off the rez	Australia	No	"[[0.9455149173736572, 0.05448509007692337]]"
1278	where does junior want to go to find hope	off the rez	Alaska	No	"[[0.9448184967041016, 0.05518146604299545]]"
1279	where does junior want to go to find hope	off the rez	Los Angeles	No	"[[0.9424222707748413, 0.05757768452167511]]"
1280	when was the us department of homeland security created	"November 25, 2002 | November 25, 2002"	November 25 2002	Yes	"[[0.010220636613667011, 0.9897793531417847], [0.010220636613667011, 0.9897793531417847]]"
1281	when was the us department of homeland security created	"November 25, 2002 | November 25, 2002"	"November 25, 2002"	Yes	"[[0.010335731320083141, 0.9896641969680786], [0.010335731320083141, 0.9896641969680786]]"
1282	when was the us department of homeland security created	"November 25, 2002 | November 25, 2002"	"The United States Department of Homeland Security was created on November 25, 2002."	Yes	"[[0.010905958712100983, 0.9890940189361572], [0.010905958712100983, 0.9890940189361572]]"
1283	when was the us department of homeland security created	"November 25, 2002 | November 25, 2002"	"November 25 , 2002"	Yes	"[[0.010335731320083141, 0.9896641969680786], [0.010335731320083141, 0.9896641969680786]]"
1284	what state did they film daddy's home 2	"Massachusetts | Concord, Massachusetts | Framingham, Massachusetts | Great Barrington, Massachusetts"	Massachusetts	Yes	"[[0.009345938451588154, 0.9906540513038635], [0.6250307559967041, 0.37496915459632874], [0.6874585151672363, 0.3125416040420532], [0.6591195464134216, 0.3408803641796112]]"
1285	what state did they film daddy's home 2	"Massachusetts | Concord, Massachusetts | Framingham, Massachusetts | Great Barrington, Massachusetts"	Daddy's Home 2 was filmed in Massachusetts.	Yes	"[[0.011326480656862259, 0.9886735081672668], [0.5091997981071472, 0.4908001720905304], [0.6670772433280945, 0.33292287588119507], [0.6448917388916016, 0.3551081120967865]]"
1286	who has the most yards per carry in nfl history	Jim Brown | Emmitt Smith	Emmitt Smith	Yes	"[[0.9559074640274048, 0.044092580676078796], [0.01276033278554678, 0.9872397184371948]]"
1287	who has the most yards per carry in nfl history	Jim Brown | Emmitt Smith	Jim Brown (5.22)	Yes	"[[0.009502793662250042, 0.9904972314834595], [0.9627102017402649, 0.03728984668850899]]"
1288	who has the most yards per carry in nfl history	Jim Brown | Emmitt Smith	michael vick	No	"[[0.955047070980072, 0.04495292156934738], [0.959042489528656, 0.04095757380127907]]"
1289	who has the most yards per carry in nfl history	Jim Brown | Emmitt Smith	"Jim Brown has the most yards per carry in NFL history, with 5.22 yards per carry."	Yes	"[[0.009078345261514187, 0.9909217357635498], [0.5869810581207275, 0.41301894187927246]]"
1290	when did the study of media effects begin	1919 | 1975	1920s	No	"[[0.8827027082443237, 0.11729730665683746], [0.9500372409820557, 0.04996267706155777]]"
1291	when did the study of media effects begin	1919 | 1975	the 1920s	No	"[[0.7336295247077942, 0.2663704454898834], [0.9593536257743835, 0.04064624011516571]]"
1292	when did the study of media effects begin	1919 | 1975	the late 1960s	No	"[[0.9575023055076599, 0.042497668415308], [0.9580328464508057, 0.04196719825267792]]"
1293	when did the study of media effects begin	1919 | 1975	1976	No	"[[0.9560996890068054, 0.04390041157603264], [0.6732832193374634, 0.3267167806625366]]"
1294	when did the study of media effects begin	1919 | 1975	The study of media effects began in the 1920s with the publication of the book Public Opinion by Walter Lippmann.	Yes	"[[0.37268128991127014, 0.6273186802864075], [0.8330667018890381, 0.16693323850631714]]"
1295	when did the study of media effects begin	1919 | 1975	1964	No	"[[0.9533131718635559, 0.04668691009283066], [0.9336724281311035, 0.06632760912179947]]"
1296	1. what was the precursor to the present day internet	the ARPANET project	the ARPANET	Yes	"[[0.008494840934872627, 0.9915052652359009]]"
1297	1. what was the precursor to the present day internet	the ARPANET project	"The precursor to the present day internet was the ARPANET, which was developed in the late 1960s."	Yes	"[[0.03537922725081444, 0.9646207690238953]]"
1298	1. what was the precursor to the present day internet	the ARPANET project	computers	No	"[[0.9434645175933838, 0.056535497307777405]]"
1299	1. what was the precursor to the present day internet	the ARPANET project	the arpanet project	Yes	"[[0.012168169021606445, 0.9878318309783936]]"
1300	1. what was the precursor to the present day internet	the ARPANET project	ARPANET	Yes	"[[0.007679720409214497, 0.99232017993927]]"
1301	surface area in many kinds of organs is important because the amount of surface determines	effective gas exchange	the amount of exchange between the organ and its environment	No	"[[0.7893263101577759, 0.21067370474338531]]"
1302	surface area in many kinds of organs is important because the amount of surface determines	effective gas exchange	regulation of body temperature	No	"[[0.95538729429245, 0.04461270943284035]]"
1303	surface area in many kinds of organs is important because the amount of surface determines	effective gas exchange	chemical kinetics	No	"[[0.9570195078849792, 0.04298052564263344]]"
1304	surface area in many kinds of organs is important because the amount of surface determines	effective gas exchange	digestion	No	"[[0.9524469971656799, 0.04755300283432007]]"
1305	surface area in many kinds of organs is important because the amount of surface determines	effective gas exchange	The amount of surface area determines the rate of exchange of materials between the organ and its environment.	No	"[[0.7790436148643494, 0.22095637023448944]]"
1306	surface area in many kinds of organs is important because the amount of surface determines	effective gas exchange	body temperature	No	"[[0.958808422088623, 0.04119150713086128]]"
1307	what is the meaning of molech in the bible	king	idol	No	"[[0.9442909955978394, 0.05570898577570915]]"
1308	what is the meaning of molech in the bible	king	king	Yes	"[[0.01223592460155487, 0.9877640604972839]]"
1309	what is the meaning of molech in the bible	king	Molech was an ancient Canaanite god associated with child sacrifice.	No	"[[0.9366204738616943, 0.06337956339120865]]"
1310	what is the meaning of molech in the bible	king	fire sacrifice	No	"[[0.9379931688308716, 0.062006875872612]]"
1311	what is the meaning of molech in the bible	king	a king	Yes	"[[0.011710488237440586, 0.9882893562316895]]"
1312	what is the meaning of molech in the bible	king	Molech is an ancient Canaanite god associated with child sacrifice.	No	"[[0.9278191328048706, 0.07218094170093536]]"
1313	what is the meaning of molech in the bible	king	abomination of the children of Ammon	No	"[[0.9267884492874146, 0.0732116550207138]]"
1314	all the motor neurons that control the skeletal muscles are	Somatic motor neurons | efferent nerves | Somatic	somatic motor neurons	Yes	"[[0.00962995644658804, 0.9903701543807983], [0.8902585506439209, 0.1097414568066597], [0.011133166030049324, 0.988866925239563]]"
1315	all the motor neurons that control the skeletal muscles are	Somatic motor neurons | efferent nerves | Somatic	cholinergic	No	"[[0.9546675682067871, 0.04533235728740692], [0.9544947147369385, 0.04550530016422272], [0.9539178013801575, 0.04608217254281044]]"
1316	all the motor neurons that control the skeletal muscles are	Somatic motor neurons | efferent nerves | Somatic	Somatic	Yes	"[[0.01012400072067976, 0.9898759722709656], [0.9544076323509216, 0.04559236019849777], [0.012059948407113552, 0.9879401326179504]]"
1317	all the motor neurons that control the skeletal muscles are	Somatic motor neurons | efferent nerves | Somatic	Motor neurons that control the skeletal muscles are known as alpha motor neurons.	Yes	"[[0.5814709067344666, 0.41852912306785583], [0.47271114587783813, 0.5272887945175171], [0.8302104473114014, 0.16978950798511505]]"
1318	all the motor neurons that control the skeletal muscles are	Somatic motor neurons | efferent nerves | Somatic	Alpha () motor neurons	No	"[[0.8264836072921753, 0.1735163927078247], [0.9272797107696533, 0.07272025942802429], [0.9441440105438232, 0.055855851620435715]]"
1319	who is the sixth president of the united states	John Quincy Adams	john quincy adams	Yes	"[[0.010958499275147915, 0.9890415668487549]]"
1320	who is the sixth president of the united states	John Quincy Adams	John Quincy Adams.	Yes	"[[0.01048306841403246, 0.9895169138908386]]"
1321	what is the point of a menstrual cup	to collect menstrual flow | collect menstrual flow	to prevent menstrual fluid	No	"[[0.5936427712440491, 0.4063572287559509], [0.6757385730743408, 0.3242613673210144]]"
1322	what is the point of a menstrual cup	to collect menstrual flow | collect menstrual flow	to prevent menstruation	No	"[[0.667525589466095, 0.33247432112693787], [0.8256140947341919, 0.17438580095767975]]"
1323	what is the point of a menstrual cup	to collect menstrual flow | collect menstrual flow	to prevent menstrual fluid from leaking onto clothes	No	"[[0.6604945063591003, 0.33950546383857727], [0.7516220211982727, 0.24837806820869446]]"
1324	what is the point of a menstrual cup	to collect menstrual flow | collect menstrual flow	prevent	No	"[[0.9571915864944458, 0.04280838370323181], [0.9216372966766357, 0.07836275547742844]]"
1325	what is the point of a menstrual cup	to collect menstrual flow | collect menstrual flow	A menstrual cup is a reusable device worn inside the vagina during menstruation to collect menstrual fluid. It is an eco-friendly and cost-effective alternative to disposable pads and tampons.	Yes	"[[0.46048974990844727, 0.5395102500915527], [0.27985328435897827, 0.7201467156410217]]"
1326	what is the point of a menstrual cup	to collect menstrual flow | collect menstrual flow	To collect menstrual fluid and prevent leakage.	Yes	"[[0.17105644941329956, 0.8289436101913452], [0.1768764704465866, 0.8231234550476074]]"
1327	what is the name of the compound p4010	Phosphorus pentoxide	Unknown.	No	"[[0.9649640917778015, 0.035035960376262665]]"
1328	what is the name of the compound p4010	Phosphorus pentoxide	ph94b	No	"[[0.9662927985191345, 0.033707235008478165]]"
1329	what is the name of the compound p4010	Phosphorus pentoxide	p4010	No	"[[0.8111757636070251, 0.18882419168949127]]"
1330	what is the name of the compound p4010	Phosphorus pentoxide	proteosifluoride	No	"[[0.9679771065711975, 0.032023001462221146]]"
1331	what is the name of the compound p4010	Phosphorus pentoxide	Phosphorus triphosphate	No	"[[0.5794376730918884, 0.42056241631507874]]"
1332	what is the name of the compound p4010	Phosphorus pentoxide	Glyphosate	No	"[[0.967670738697052, 0.03232923895120621]]"
1333	what is the name of the compound p4010	Phosphorus pentoxide	Pfizer	No	"[[0.9671658277511597, 0.032834094017744064]]"
1334	what is the name of the compound p4010	Phosphorus pentoxide	Phosphorus pentachloride	Yes	"[[0.27716317772865295, 0.7228367924690247]]"
1335	what is the name of the compound p4010	Phosphorus pentoxide	tetraphosphorus decoxide	No	"[[0.9150452613830566, 0.08495477586984634]]"
1336	what is the name of the compound p4010	Phosphorus pentoxide	Sodium acetate	No	"[[0.9678476452827454, 0.03215236961841583]]"
1337	when did the first ninja turtles come out	1984 | May 1984	"March 30, 1990"	No	"[[0.9610406756401062, 0.038959354162216187], [0.9551844000816345, 0.04481563717126846]]"
1338	when did the first ninja turtles come out	1984 | May 1984	March 30 1990	No	"[[0.9605293869972229, 0.03947056084871292], [0.9517036080360413, 0.04829641804099083]]"
1339	when did the first ninja turtles come out	1984 | May 1984	The first Teenage Mutant Ninja Turtles comic book was released in May 1984.	Yes	"[[0.010341618210077286, 0.9896583557128906], [0.0094618434086442, 0.9905381798744202]]"
1340	when did the first ninja turtles come out	1984 | May 1984	May 1984	Yes	"[[0.009059974923729897, 0.9909400939941406], [0.008869496174156666, 0.9911304116249084]]"
1341	when did the first ninja turtles come out	1984 | May 1984	1990	No	"[[0.9569141864776611, 0.04308588430285454], [0.9507769346237183, 0.049222998321056366]]"
1342	when did the first ninja turtles come out	1984 | May 1984	1984	Yes	"[[0.009224405512213707, 0.9907757043838501], [0.20562821626663208, 0.7943717837333679]]"
1343	who votes to elect a rajya sabha memmber	state legislatures	state and territorial legislatures	Yes	"[[0.009634732268750668, 0.990365207195282]]"
1344	who votes to elect a rajya sabha memmber	state legislatures	Elected members of the Legislative Assembly of the State from which the Rajya Sabha member is to be chosen.	Yes	"[[0.08602149039506912, 0.9139784574508667]]"
1345	who votes to elect a rajya sabha memmber	state legislatures	Rajya Sabha members are elected by the elected members of the State Legislative Assemblies.	Yes	"[[0.18682768940925598, 0.8131723403930664]]"
1346	where would a subcutaneous injection be made in the skin	the subcutis	Subcutaneous injections are typically made in the fatty tissue just below the skin.	Yes	"[[0.013705932535231113, 0.986294150352478]]"
1347	where would a subcutaneous injection be made in the skin	the subcutis	the subcutis	Yes	"[[0.009654853492975235, 0.990345299243927]]"
1348	where would a subcutaneous injection be made in the skin	the subcutis	directly below dermis	No	"[[0.9328738451004028, 0.06712616235017776]]"
1349	where would a subcutaneous injection be made in the skin	the subcutis	between the dermis and the underlying tissue	No	"[[0.9306702017784119, 0.06932979822158813]]"
1350	where would a subcutaneous injection be made in the skin	the subcutis	under the skin	No	"[[0.6948434710502625, 0.30515649914741516]]"
1351	what episode does goku give up against cell	165 | 180	0	No	"[[0.954641580581665, 0.045358408242464066], [0.9530304670333862, 0.0469694584608078]]"
1352	what episode does goku give up against cell	165 | 180	` ` goku's dreamland''	No	"[[0.9423422813415527, 0.05765779688954353], [0.9435104131698608, 0.05648962780833244]]"
1353	what episode does goku give up against cell	165 | 180	the first round	No	"[[0.9582930207252502, 0.041707057505846024], [0.963141918182373, 0.036858052015304565]]"
1354	what episode does goku give up against cell	165 | 180	"Episode 31 of Dragon Ball Z, ""Silent Warrior""."	No	"[[0.9430338740348816, 0.056966133415699005], [0.9584466814994812, 0.04155328497290611]]"
1355	what episode does goku give up against cell	165 | 180	Dragon Ball GT	No	"[[0.9621556401252747, 0.037844467908144], [0.961398720741272, 0.03860125318169594]]"
